Unnamed: 0,name,url,year,certificate,rating,votes,plot,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,name_normalized
5145,The Adventures of Batman & Robin,https://www.imdb.com/title/tt6538110/?ref_=adv_li_tt,1995.0,K-A,8.6,16,"The Sega Genesis version of ""The Adventures of Batman and Robin"" is a side-scrolling brawler game. Playing as either Batman or Robin, you have battle your way through four levels full of Mr... See full summary »",True,False,False,True,False,False,False,False,False,the adventures of batman & robin
5168,Granny Smith,https://www.imdb.com/title/tt14722700/?ref_=adv_li_tt,2012.0,E,9.0,7,"Granny Smith is a fast-paced racing platformer filled with spectacular crashes and amazing stunts, Jump, glide, swing and smash your way through 57 hand-crafted levels in four distinct settings, Just be sure to land on your feet.",True,True,True,False,False,False,False,False,False,granny smith
5189,Silent Bomber,https://www.imdb.com/title/tt0301841/?ref_=adv_li_tt,1999.0,T,8.6,21,"7 years ago, Jutah Fate was ordered to destroy the enemy stronghold by his commanding officer, however, it was actually a civilian's residence and countless of innocent people were burned ... See full summary »",True,True,False,False,False,False,True,False,False,silent bomber
5223,Battlezone II: Combat Commander,https://www.imdb.com/title/tt0278968/?ref_=adv_li_tt,1999.0,E,8.5,41,Featured game.,True,False,False,False,False,False,False,False,False,battlezone ii: combat commander
5226,One piece: Gurando batoru! 3,https://www.imdb.com/title/tt1175508/?ref_=adv_li_tt,2003.0,,8.4,17,Add a Plot,True,False,False,False,False,False,False,False,False,one piece: gurando batoru! 3
5248,Kingdom Rush Origins,https://www.imdb.com/title/tt9495938/?ref_=adv_li_tt,2017.0,,8.2,50,Add a Plot,True,True,False,False,False,True,False,False,False,kingdom rush origins
5252,Fairy Fencer F: Advent Dark Force,https://www.imdb.com/title/tt6011632/?ref_=adv_li_tt,2016.0,T,9.0,100,"A long time ago there was a conflict between a goddess and an evil god. The two deities didn't fight directly, but created a large number of special weapons for others to use. Eventually, ... See full summary »",True,True,False,False,False,True,False,False,False,fairy fencer f: advent dark force
5258,Mario Kart Arcade GP,https://www.imdb.com/title/tt0872115/?ref_=adv_li_tt,2005.0,,8.2,101,Arcade exclusive Mario game in which players can race as one of eleven characters in twenty-four tracks.,True,False,False,False,True,True,False,False,False,mario kart arcade gp
5264,King's Bounty,https://www.imdb.com/title/tt0449054/?ref_=adv_li_tt,1990.0,,8.2,49,"This top-down, turn-based strategy game was the predecessor to the popular ""Heroes of Might & Magic"" series. As knight, paladin, barbarian or sorceress, you must amass an army of creatures ... See full summary »",True,True,False,False,False,True,False,False,False,king's bounty
5265,Warriors Orochi 2,https://www.imdb.com/title/tt1409838/?ref_=adv_li_tt,2008.0,T,8.1,51,Add a Plot,True,False,False,False,False,True,False,False,False,warriors orochi 2
5277,Samurai Warriors 2: Xtreme Legends,https://www.imdb.com/title/tt1230169/?ref_=adv_li_tt,2007.0,T,8.1,30,Add a Plot,True,True,False,False,False,True,False,False,False,samurai warriors 2: xtreme legends
5279,Trogdor!,https://www.imdb.com/title/tt10932106/?ref_=adv_li_tt,2003.0,,9.2,6,Play as Trogdor so you can burninate the countryside and the thatch roof cottages.,True,False,True,False,False,True,False,False,False,trogdor!
5296,T.R.A.G.: Tactical Rescue Assault Group,https://www.imdb.com/title/tt0488299/?ref_=adv_li_tt,1998.0,T,8.3,11,"It is 2046. An armed terrorist group has attacked and occupied the Togusa Building, owned by the mayor military supplier, Machinery Gear, Inc. A special commando unit has been sent to ... See full summary »",True,False,False,False,False,False,True,False,True,t.r.a.g.: tactical rescue assault group
